"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         222,      -4.211393535,     -0.9676761152,      -1.653852279,       2.050472044
          0,           0,         223,      -4.211816056,     -0.9680555912,      -1.654417193,       2.050071062
          0,           0,         224,      -4.212413071,     -0.9685997186,      -1.655184322,       2.049510543
          0,           0,         225,      -4.213345986,     -0.9694630715,       -1.65633327,       2.048655586
          0,           0,         226,      -4.215320108,     -0.9713477507,      -1.658608275,       2.046831711
          0,           0,         227,      -4.221416759,      -0.977315784,      -1.665240923,       2.041027573
          0,           0,         228,      -4.238970846,     -0.9946642479,      -1.683684907,       2.024021929
          0,           0,         229,      -4.254131145,      -1.012582333,      -1.697415493,       2.004853854
          0,           0,         230,      -4.284495608,      -1.048923402,      -1.727231471,        1.96442528
          0,           0,         231,      -4.284501732,      -1.048929493,      -1.727238439,       1.964418848
          0,           0,         232,      -4.284513969,      -1.048941664,      -1.727252358,       1.964405993
          0,           0,         233,      -4.284538401,      -1.048965967,      -1.727280132,       1.964380326
          0,           0,         234,      -4.284587092,      -1.049014422,      -1.727335424,       1.964329163
          0,           0,         235,      -4.284683799,       -1.04911073,      -1.727445008,       1.964227502
          0,           0,         236,      -4.284874616,       -1.04930103,      -1.727660332,       1.964026753
          0,           0,         237,      -4.285246596,      -1.049672995,       -1.72807679,       1.963634844
          0,           0,         238,       -4.28595707,      -1.050386803,       -1.72886113,       1.962884484
          0,           0,         239,      -4.287275618,       -1.05172132,      -1.730284856,       1.961487282
          0,           0,         240,      -4.289660653,      -1.054156815,       -1.73279045,       1.958953323
          0,           0,         241,      -4.293996604,      -1.058613718,      -1.737249219,       1.954352233
          0,           0,         242,       -4.30231413,      -1.067181088,      -1.745731073,       1.945567948
          0,           0,         243,      -4.319670871,      -1.085084592,      -1.763385968,       1.927277138
          0,           0,         244,      -4.359627281,      -1.126356176,      -1.804230585,       1.885173048
          0,           0,         245,      -4.454956453,      -1.224121577,      -1.902981521,       1.785958081
          0,           0,         246,      -4.628474122,      -1.393699973,      -2.080355869,       1.620023266
          0,           0,         247,      -4.802278213,      -1.532725661,      -2.241473795,       1.501622083
          0,           0,         248,      -4.882425713,       -1.59240812,       -2.28472605,       1.447792272
          0,           0,         249,      -4.882432458,      -1.592413413,      -2.284732132,       1.447787087
          0,           0,         250,      -4.882445929,      -1.592423985,      -2.284744276,       1.447776727
          0,           0,         251,      -4.882472805,      -1.592445084,      -2.284768488,       1.447756053
          0,           0,         252,      -4.882526288,      -1.592487092,      -2.284816604,       1.447714885
          0,           0,         253,      -4.882632199,      -1.592570368,      -2.284911634,       1.447633255
          0,           0,         254,      -4.882839948,      -1.592734061,      -2.285097082,       1.447472729
          0,           0,         255,      -4.883240265,       -1.59305076,      -2.285450949,       1.447161878
          0,           0,         256,      -4.883987859,      -1.593646617,      -2.286100352,       1.446575935
          0,           0,         257,      -4.885317856,      -1.594720345,      -2.287224507,       1.445515979
          0,           0,         258,      -4.887550267,      -1.596558589,      -2.289054345,       1.443686954
          0,           0,         259,      -4.891148589,      -1.599607107,      -2.291987629,       1.440608618
          0,           0,         260,      -4.896933589,      -1.604747615,      -2.297005012,       1.435288601
          0,           0,         261,      -4.906456362,      -1.613968151,      -2.306604179,       1.425386562
          0,           0,         262,      -4.923999615,      -1.632473691,      -2.327998334,       1.404754211
          0,           0,         263,      -4.960580426,      -1.671623741,      -2.379848062,        1.36034013
          0,           0,         264,      -5.022911135,      -1.734997605,       -2.49303075,       1.288862115
          0,           0,         265,      -5.090548145,      -1.788750962,      -2.636712357,       1.232736061
          0,           0,         266,      -5.162897876,      -1.835591356,      -2.703013293,       1.188498091
          0,           0,         267,      -5.229818301,       -1.89780363,      -2.737873152,       1.127008099
          0,           0,         268,      -5.229823395,      -1.897806584,      -2.737881657,       1.127004873
          0,           0,         269,      -5.229833571,      -1.897812487,      -2.737898638,       1.126998427
          0,           0,         270,      -5.229853878,      -1.897824273,      -2.737932488,       1.126985557
          0,           0,         271,      -5.229894311,      -1.897847765,      -2.737999745,         1.1269599
          0,           0,         272,      -5.229974466,      -1.897894437,      -2.738132521,       1.126908915
          0,           0,         273,      -5.230132036,      -1.897986578,      -2.738391362,       1.126808209
          0,           0,         274,      -5.230436958,      -1.898166366,      -2.738884036,       1.126611504
          0,           0,         275,      -5.231011068,       -1.89851023,      -2.739781998,       1.126234439
          0,           0,         276,      -5.232047289,      -1.899149093,      -2.741305017,       1.125530439
          0,           0,         277,      -5.233820345,      -1.900302012,      -2.743634971,       1.124246923
          0,           0,         278,      -5.236682997,      -1.902370693,      -2.746781317,       1.121902231
          0,           0,         279,      -5.240941448,      -1.906184559,      -2.750373987,       1.117469137
          0,           0,         280,      -5.246488513,      -1.913123571,      -2.753144964,       1.109091064
          0,           0,         281,      -5.250507165,      -1.921922802,      -2.754672818,       1.097236651
          0,           0,         282,       -5.23513448,      -1.918734085,      -2.755585224,       1.097009087
          0,           0,         283,      -5.211976125,      -1.910033352,      -2.765561492,       1.106844896
          0,           0,         284,      -5.245146467,      -1.939237681,      -2.777742869,       1.080907975
          0,           0,         285,      -5.322169786,       -2.00698126,      -2.778051344,       1.014559868
          0,           0,         286,      -5.397937771,      -2.083354473,      -2.812392421,      0.9353361378
          0,           0,         287,      -5.397940681,      -2.083356186,      -2.812398312,       0.935334067
          0,           0,         288,      -5.397946491,      -2.083359607,      -2.812410075,      0.9353299308
          0,           0,         289,      -5.397958073,      -2.083366429,      -2.812433525,      0.9353216804
          0,           0,         290,      -5.397981085,      -2.083379991,      -2.812480124,      0.9353052669
          0,           0,         291,      -5.398026518,      -2.083406791,      -2.812572142,      0.9352727828
          0,           0,         292,      -5.398115099,      -2.083459142,      -2.812751628,      0.9352091372
          0,           0,         293,       -5.39828378,      -2.083559171,      -2.813093616,      0.9350867678
          0,           0,         294,      -5.398591695,      -2.083742747,      -2.813718078,      0.9348592137
          0,           0,         295,      -5.399116337,      -2.084057458,      -2.814779948,      0.9344576887
          0,           0,         296,      -5.399925855,      -2.084543278,      -2.816404667,      0.9337955757
          0,           0,         297,      -5.400986406,       -2.08517187,      -2.818557572,      0.9327858159
          0,           0,         298,      -5.401641314,      -2.085563455,      -2.820849761,      0.9315222518
          0,           0,         299,      -5.398389315,      -2.083445347,      -2.822887592,        0.93170804
          0,           0,         300,      -5.379658196,      -2.068695805,       -2.82870083,      0.9432635238
          0,           0,         301,      -5.323642136,      -2.020811249,      -2.843109313,      0.9897940689
          0,           0,         302,      -5.260147307,      -1.962872597,      -2.851390103,       1.049972654
          0,           0,         303,      -5.259285257,      -1.957313149,      -2.857614127,       1.056526897
          0,           0,         304,      -5.305292461,       -1.99730116,      -2.860769614,       1.015681634
          0,           0,         305,      -5.375843747,      -2.063364948,      -2.897861768,      0.9497032494
          0,           0,         306,      -5.375847551,      -2.063366982,      -2.897869523,      0.9497010104
          0,           0,         307,      -5.375855149,      -2.063371045,      -2.897885004,      0.9496965383
          0,           0,         308,      -5.375870306,      -2.063379152,      -2.897915852,      0.9496876171
          0,           0,         309,      -5.375900464,      -2.063395282,      -2.897977099,      0.9496698665
          0,           0,         310,      -5.375960169,      -2.063427219,      -2.898097824,      0.9496347253
          0,           0,         311,      -5.376077225,      -2.063489843,      -2.898332468,      0.9495658312
          0,           0,         312,      -5.376302615,      -2.063610423,      -2.898776456,      0.9494332099
          0,           0,         313,      -5.376723228,      -2.063835214,      -2.899576493,      0.9491859662
          0,           0,         314,      -5.377471996,      -2.064233435,      -2.900904614,       0.948747244
          0,           0,         315,      -5.378732966,        -2.0648946,       -2.90285932,      0.9480133844
          0,           0,         316,      -5.380747664,       -2.06593041,      -2.905337835,      0.9468398239
          0,           0,         317,      -5.383672942,      -2.067469348,      -2.908114284,       0.945032416
          0,           0,         318,       -5.38675605,      -2.069310157,      -2.912733207,      0.9427734488
          0,           0,         319,      -5.387041114,      -2.069338135,      -2.932349683,      0.9427291695
          0,           0,         320,      -5.383234752,      -2.066675807,      -2.987349922,      0.9474342309
          0,           0,         321,      -5.401333757,      -2.082636318,      -3.067264967,       0.934951446
          0,           0,         322,      -5.476282299,      -2.142644157,      -3.133092777,      0.8761324455
          0,           0,         323,      -5.603626379,      -2.238855954,      -3.156612379,      0.7769412113
          0,           0,         324,      -5.706655783,      -2.308813097,      -3.192012372,      0.7025464869
          0,           0,         325,      -5.706661234,      -2.308814763,      -3.192024099,       0.702544506
          0,           0,         326,       -5.70667212,      -2.308818088,      -3.192047511,      0.7025405507
          0,           0,         327,       -5.70669383,      -2.308824715,      -3.192094171,      0.7025326661
          0,           0,         328,      -5.706737001,      -2.308837877,      -3.192186834,      0.7025170004
          0,           0,         329,      -5.706822372,      -2.308863836,      -3.192369586,      0.7024860748
          0,           0,         330,      -5.706989372,      -2.308914343,      -3.192725137,      0.7024257932
          0,           0,         331,       -5.70730949,       -2.30901007,       -3.19339901,      0.7023111012
          0,           0,         332,      -5.707901607,      -2.309182802,      -3.194615684,      0.7021023902
          0,           0,         333,      -5.708937266,      -2.309468316,      -3.196633049,       0.701750569
          0,           0,         334,      -5.710617297,      -2.309873603,      -3.199538615,      0.7012258705
          0,           0,         335,       -5.71303944,      -2.310286469,      -3.202829576,      0.7006024751
          0,           0,         336,      -5.715228229,      -2.310129639,      -3.205043749,      0.7004393887
          0,           0,         337,      -5.711198631,      -2.306780423,      -3.206191451,      0.7036536886
