"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         121,      -3.196236285,     0.04312937926,     -0.4915445366,       3.072534613
          0,           0,         122,      -3.204213025,     0.03465638703,     -0.4971774468,       3.064108425
          0,           0,         123,       -3.22765651,     0.01047343673,      -0.519902285,       3.039791378
          0,           0,         124,      -3.228219812,    0.009811725561,     -0.5213648179,       3.039034057
          0,           0,         125,       -3.23083422,    0.006995565752,     -0.5248137265,       3.036118159
          0,           0,         126,      -3.240530348,   -0.003110973711,     -0.5334056085,       3.026012995
          0,           0,         127,      -3.265808652,    -0.02905622696,     -0.5549751162,        3.00006345
          0,           0,         128,      -3.267200431,    -0.03053052715,     -0.5568932775,       2.998458624
          0,           0,         129,      -3.270316734,    -0.03380472918,     -0.5605893191,       2.994991765
          0,           0,         130,       -3.27778667,    -0.04157092011,     -0.5678870475,       2.987017608
          0,           0,         131,       -3.29463336,    -0.05888945318,     -0.5833036758,       2.969500057
          0,           0,         132,      -3.295573164,    -0.05988300626,     -0.5848699703,       2.968388675
          0,           0,         133,      -3.297654215,    -0.06206823247,      -0.587818114,       2.966020918
          0,           0,         134,      -3.302654679,    -0.06726741793,      -0.593407229,       2.960599292
          0,           0,         135,      -3.314461185,    -0.07940279095,      -0.604720971,       2.948246513
          0,           0,         136,      -3.335581945,     -0.1008156577,     -0.6289694181,       2.926368313
          0,           0,         137,      -3.337043811,     -0.1023162782,     -0.6323590481,       2.924662593
          0,           0,         138,      -3.340785726,     -0.1061615608,       -0.63832236,        2.92056464
          0,           0,         139,      -3.351133866,     -0.1167707294,     -0.6488301343,       2.909766509
          0,           0,         140,      -3.373632956,     -0.1396420869,     -0.6691974244,       2.886658464
          0,           0,         141,      -3.375877785,     -0.1419219145,     -0.6723703902,       2.884219795
          0,           0,         142,      -3.380481581,     -0.1466041075,      -0.678138714,       2.879299278
          0,           0,         143,      -3.390181227,      -0.156478779,     -0.6883674155,       2.869141904
          0,           0,         144,      -3.408790634,     -0.1753483784,     -0.7068147925,       2.849945907
          0,           0,         145,      -3.410776318,     -0.1773530276,     -0.7097558201,       2.847806761
          0,           0,         146,      -3.414760658,     -0.1813834198,      -0.715133816,       2.843560018
          0,           0,         147,       -3.42289881,     -0.1896310232,     -0.7245647773,       2.835020323
          0,           0,         148,      -3.438656461,     -0.2055650573,     -0.7408309045,        2.81873988
          0,           0,         149,       -3.46139369,     -0.2282586365,     -0.7688925436,       2.795442132
          0,           0,         150,      -3.464682572,     -0.2315232055,     -0.7748177392,       2.791926258
          0,           0,         151,       -3.47150966,     -0.2383665445,     -0.7847968387,       2.784731192
          0,           0,         152,      -3.486355107,      -0.253370586,     -0.8005349744,       2.769348258
          0,           0,         153,      -3.513059196,     -0.2802583259,     -0.8257499112,       2.742029509
          0,           0,         154,      -3.516963294,     -0.2841552747,     -0.8309956556,       2.737936043
          0,           0,         155,      -3.524411847,     -0.2916172235,     -0.8401270376,       2.730163699
          0,           0,         156,      -3.538348853,     -0.3056363297,     -0.8549862644,       2.715734752
          0,           0,         157,      -3.561379967,     -0.3287570681,     -0.8783619206,       2.692148806
          0,           0,         158,      -3.564629904,     -0.3319924495,     -0.8828913867,       2.688755108
          0,           0,         159,      -3.570812493,     -0.3381668218,      -0.890938285,       2.682316394
          0,           0,         160,      -3.582337693,     -0.3497194306,     -0.9042583358,       2.670381624
          0,           0,         161,      -3.602111671,     -0.3695207999,     -0.9250587269,       2.650118804
          0,           0,         162,      -3.604849972,     -0.3722408424,     -0.9287954873,       2.647272903
          0,           0,         163,      -3.610094967,     -0.3774630296,     -0.9355677356,       2.641831119
          0,           0,         164,      -3.619893425,      -0.387247195,     -0.9470586504,       2.631706282
          0,           0,         165,       -3.63696457,     -0.4042912998,     -0.9652688814,       2.614221478
          0,           0,         166,      -3.660689826,     -0.4276866688,     -0.9930617361,       2.590343678
          0,           0,         167,      -3.664640457,     -0.4315511141,     -0.9994625715,       2.586276804
          0,           0,         168,      -3.672095049,     -0.4388931811,      -1.010377238,       2.578598775
          0,           0,         169,      -3.686127476,     -0.4528284136,      -1.027322358,       2.564182151
          0,           0,         170,      -3.709942585,     -0.4764641667,      -1.052175528,       2.539990673
          0,           0,         171,      -3.713745548,       -0.48021001,      -1.057354765,       2.536075238
          0,           0,         172,      -3.720981912,     -0.4873635741,      -1.066449836,       2.528624368
          0,           0,         173,      -3.734274495,     -0.5005528595,      -1.081216997,       2.514971868
          0,           0,         174,      -3.756072898,     -0.5221428002,      -1.103760521,       2.492799221
          0,           0,         175,      -3.759204609,     -0.5252243192,      -1.107960959,       2.489578316
          0,           0,         176,      -3.765118207,     -0.5310495377,      -1.115546073,       2.483508233
          0,           0,         177,      -3.775898808,     -0.5417008603,      -1.128319583,       2.472453723
          0,           0,         178,      -3.793916787,      -0.559495363,      -1.148306651,       2.454107843
          0,           0,         179,      -3.818317674,     -0.5832804619,      -1.178256981,       2.429786361
          0,           0,         180,      -3.822565752,      -0.587400998,      -1.185134302,       2.425458168
          0,           0,         181,      -3.830504318,     -0.5951409332,      -1.196839227,       2.417357573
          0,           0,         182,      -3.845117311,     -0.6094941208,      -1.214944173,       2.402429276
          0,           0,         183,      -3.869114416,     -0.6330298041,      -1.241332864,       2.378182117
          0,           0,         184,      -3.872962847,     -0.6367816454,       -1.24667688,       2.374243085
          0,           0,         185,      -3.880247126,     -0.6439023034,      -1.256057111,       2.366788998
          0,           0,         186,      -3.893481299,     -0.6568822747,      -1.271288151,       2.353251591
          0,           0,         187,       -3.91477485,     -0.6777132204,      -1.294610442,       2.331675124
          0,           0,         188,      -3.917783799,     -0.6806338037,      -1.298792789,       2.328603383
          0,           0,         189,       -3.92346574,     -0.6861579554,      -1.306356807,       2.322800236
          0,           0,         190,       -3.93376607,     -0.6962025501,       -1.31913163,       2.312281477
          0,           0,         191,       -3.95073475,     -0.7127326581,      -1.339265692,       2.295063308
          0,           0,         192,      -3.973763223,     -0.7348933524,      -1.369740748,       2.272213659
          0,           0,         193,      -3.977573862,      -0.738529787,      -1.376189383,       2.268366498
          0,           0,         194,      -3.984775452,     -0.7454576095,      -1.387207467,       2.261050205
          0,           0,         195,      -3.997849905,     -0.7581122045,      -1.404393766,       2.247728741
          0,           0,         196,      -4.018783177,     -0.7783294803,      -1.429859237,       2.226618403
          0,           0,         197,      -4.021930138,     -0.7813375833,      -1.434617664,       2.223417848
          0,           0,         198,      -4.027946984,     -0.7871239302,      -1.442995743,        2.21727367
          0,           0,         199,      -4.038823898,     -0.7976165269,      -1.456710988,       2.206156353
          0,           0,         200,      -4.056132748,     -0.8142705659,      -1.478053422,       2.188623886
          0,           0,         201,      -4.058426264,     -0.8164496882,      -1.481609636,       2.186294493
          0,           0,         202,      -4.062779594,     -0.8205967206,      -1.488062742,       2.181862759
          0,           0,         203,      -4.070717252,     -0.8282022447,       -1.49904598,       2.173757612
          0,           0,         204,      -4.083728152,     -0.8406593709,      -1.516609223,       2.160551224
          0,           0,         205,      -4.095627332,     -0.8519874958,      -1.534033775,       2.148536286
          0,           0,         206,      -4.112340312,     -0.8677645292,      -1.560570799,       2.131978505
          0,           0,         207,      -4.114885722,     -0.8701530929,      -1.565425322,       2.129403844
          0,           0,         208,       -4.11976632,     -0.8747666601,      -1.573719306,       2.124426609
          0,           0,         209,      -4.128684239,     -0.8832521423,      -1.586796547,       2.115295374
          0,           0,         210,      -4.142766182,     -0.8966457327,      -1.606747185,       2.101012122
          0,           0,         211,      -4.144651989,     -0.8984198008,      -1.610049488,       2.099082522
          0,           0,         212,      -4.148259169,     -0.9018289438,      -1.615897575,       2.095373126
